"LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","FirstFlrSF","SecondFlrSF","TotRmsAbvGrd","GarageArea","WoodDeckSF","ThreeSsnPorch","ScreenPorch","MoSold","Street_Grvl","Utilities_AllPub","Neighborhood_Edwards","Neighborhood_Mitchel","Neighborhood_NAmes","Neighborhood_NWAmes","Neighborhood_NoRidge","Neighborhood_OldTown","Neighborhood_StoneBr","Condition1_RRAe","Condition2_PosN","RoofStyle_Flat","RoofStyle_Gable","RoofStyle_Gambrel","RoofStyle_Hip","RoofStyle_Mansard","Exterior1st_BrkFace","ExterQual_Ex","Foundation_BrkTil","Foundation_CBlock","Foundation_PConc","BsmtQual_Ex","BsmtExposure_Gd","BsmtFinType1_LwQ","FullBath_1","FullBath_2"
8450,7,5,2003,2003,196,706,856,854,8,548,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9600,6,8,1976,1976,0,978,1262,0,6,460,298,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
11250,7,5,2001,2002,162,486,920,866,6,608,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
9550,7,5,1915,1970,0,216,961,756,7,642,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
14260,8,5,2000,2000,350,655,1145,1053,9,836,192,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
14115,5,5,1993,1995,0,732,796,566,5,480,40,320,0,10,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10084,8,5,2004,2005,186,1369,1694,0,7,636,255,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
10382,7,6,1973,1973,240,859,1107,983,7,484,235,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6120,7,5,1931,1950,0,0,1022,752,8,468,90,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
7420,5,6,1939,1950,0,851,1077,0,5,205,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
